id,label,type,frequency,author
symbol:hallway,hallway,symbol,30,
symbol:riot,riot,symbol,30,
symbol:misery,misery,symbol,30,
symbol:giant,giant,symbol,30,
symbol:robot,robot,symbol,30,
symbol:furnace,furnace,symbol,30,
symbol:gale,gale,symbol,30,
symbol:column,column,symbol,30,
symbol:difficulty,difficulty,symbol,30,
symbol:hail,hail,symbol,30,
symbol:zone,zone,symbol,30,
symbol:tube,tube,symbol,30,
symbol:level,level,symbol,30,
symbol:labor,labor,symbol,29,
symbol:horror,horror,symbol,29,
symbol:restaurant,restaurant,symbol,29,
symbol:chip,chip,symbol,29,
symbol:tiger,tiger,symbol,29,
symbol:strife,strife,symbol,29,
symbol:weapon,weapon,symbol,29,
symbol:hunter,hunter,symbol,29,
symbol:prophet,prophet,symbol,29,
symbol:jail,jail,symbol,29,
symbol:torment,torment,symbol,29,
symbol:wool,wool,symbol,29,
symbol:volume,volume,symbol,29,
symbol:member,member,symbol,29,
symbol:comrade,comrade,symbol,29,
symbol:college,college,symbol,29,
symbol:paint,paint,symbol,29,
symbol:paw,paw,symbol,29,
symbol:drug,drug,symbol,29,
symbol:north,north,symbol,29,
symbol:collar,collar,symbol,29,
symbol:area,area,symbol,28,
symbol:title,title,symbol,28,
symbol:logic,logic,symbol,28,
symbol:actor,actor,symbol,28,
symbol:sink,sink,symbol,28,
symbol:bubble,bubble,symbol,28,
symbol:seal,seal,symbol,28,
symbol:task,task,symbol,28,
symbol:bathroom,bathroom,symbol,28,
symbol:citizen,citizen,symbol,28,
symbol:attitude,attitude,symbol,28,
symbol:victory,victory,symbol,28,
symbol:elbow,elbow,symbol,28,
symbol:rate,rate,symbol,28,
symbol:fabric,fabric,symbol,28,
symbol:threshold,threshold,symbol,28,
symbol:sonnet,sonnet,symbol,28,
symbol:team,team,symbol,28,
symbol:harm,harm,symbol,28,
symbol:hut,hut,symbol,28,
symbol:rent,rent,symbol,28,
symbol:wax,wax,symbol,28,
symbol:garment,garment,symbol,28,
symbol:disdain,disdain,symbol,28,
symbol:trash,trash,symbol,28,
symbol:suburb,suburb,symbol,28,
symbol:club,club,symbol,28,
symbol:stove,stove,symbol,27,
symbol:hood,hood,symbol,27,
symbol:calm,calm,symbol,27,
symbol:bicycle,bicycle,symbol,27,
symbol:effort,effort,symbol,27,
symbol:study,study,symbol,27,
symbol:fun,fun,symbol,27,
symbol:issue,issue,symbol,27,
symbol:labour,labour,symbol,27,
symbol:daisy,daisy,symbol,27,
symbol:detail,detail,symbol,27,
symbol:gutter,gutter,symbol,27,
symbol:fantasy,fantasy,symbol,27,
symbol:base,base,symbol,27,
symbol:load,load,symbol,27,
symbol:swing,swing,symbol,27,
symbol:fan,fan,symbol,27,
symbol:galaxy,galaxy,symbol,27,
symbol:cemetery,cemetery,symbol,27,
symbol:carpet,carpet,symbol,27,
symbol:gin,gin,symbol,27,
symbol:theater,theater,symbol,27,
symbol:core,core,symbol,27,
symbol:trust,trust,symbol,27,
