source_symbol,target_emotion,poem_id,title,author,symbol_token,emotion_token,token_distance,line_distance,symbol_line,emotion_line,context_snippet,manual_label,objective_reason,annotation_method
mystery,wonder,poem_01423,Time in a Brown House,Mark Halliday,315,315,0,0,51,51,"wooden stairs. J.J. was gone. She was gone. Leland was eating yogurt at midnight. The whole brown house was floating, gliding",0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
calendar,peace,poem_03231,Elegy for My Mother's Ex-Boyfriend,James Kimbrell,230,233,3,2,65,67,my ten-speed across the Leaf River bridge all the way to Tim's other woman's house and lay with that woman's daughter beside the moon-,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
lincoln,regret,poem_09725,Lincoln,Vachel Lindsay,4,0,4,0,1,1,"Would I might rouse the Lincoln in you all, That which is gendered in the",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
clog,grief,poem_13577,"A HOPKINS RUMBLE, 1999",John Hazard,34,32,2,0,5,5,"in every Ave, you half-nelson the syntax dandies, ram them to canvas, sit upon and pin the god-fops, minions of ghost tomes, trite",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
step,hope,poem_06737,Bread,W. S. Merwin,99,95,4,2,31,29,after step the heart of bread to be sustained by its dark breath and emerge to find themselves alone before a wheat field raising its,1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
luminescent,melancholy,poem_04477,Au Magasin de Nouveautes,Yi Sang,361,355,6,0,43,43,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
parting,regret,poem_12505,On the Death of Anne Brontë,Charlotte Brontë,23,31,8,2,5,7,"I 've lived the parting hour to see Of one I would have died to save. Calmly to watch the failing breath, Wishing each sigh might be the last;",1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
pool,hope,poem_04618,From “Loss”,David Harsent,513,511,2,0,29,29,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
dream,wonder,poem_01100,Love Poem,Dorothea Lasky,57,57,0,0,21,21,I reached deep in you and pulled out a cardinal Which in bright red Flew out the window. Sometimes when we,0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
information,melancholy,poem_04732,Accounts,Rae Armantrout,68,71,3,0,1,1,describing the fading laser pulseis stored is encodedin the spin statesof atoms.God is balancing his checkbook God is encrypting his account.This is taking forever!,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
smoke,regret,poem_00449,My Standard Response,Karenne Wood,155,160,5,0,33,33,lighting one of those firestarter bricks. We haven’t made fire since the Boy Scouts took over. And how would the citizens know it was us? They’d,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
plenty,gratitude,poem_10269,When I Was One-and-Twenty,A. E. Housman,76,70,6,0,1,1,"plenty And sold for endless rue.”And I am two-and-twenty, And oh, ’tis true, ’tis true.",1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
cold,resilience,poem_13085,The Lonely Death,Adelaide Crapsey,1,5,4,0,1,1,"In the cold I will rise, I will batheIn waters of ice; myselfWill shiver, and shrive",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
cleopatra,wonder,poem_06384,1972 ford ltd,Quraysh Ali Lansana,67,61,6,2,9,7,"ride, showing yankees, john denver, the hippie nation and everyone except texas the middle finger. kept the 25 gallon tank on full. we drove to kentucky for",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
smell,melancholy,poem_00622,Discipline Park,Toby Altman,25,33,8,0,3,3,away. The smell of diesel or the smell of rain. Now you are a thick suburb. Under the pressure of a credit card. Your body is a box of,1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
chair,loneliness,poem_07699,Five Visions of Captain Cook,Kenneth Slessor,1293,1299,6,2,261,263,"and water diamond-green, Beaches wind-glittering with crumbs of gilt, And birds more scarlet than a duchy’s seal That had come whistling long ago, and far Away. His",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
growth,peace,poem_05934,The Night Where You No Longer Live,Meghan O'Rourke,53,60,7,0,1,1,And is there sun thereor drones or punishment or growth Was it a blackoutAnd did you still create me And what was I like on the first day,1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
long walk,hope,poem_00955,The Packards,Lewis Warsh,103,94,9,8,47,39,poorly tuned radio in my world my head with a star attached swims back * Useless—it was the wrong tree but the flag in the school breeze scans the men,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
sun,desire,poem_10701,& then afterward,Nate Pritts,8,13,5,2,5,7,"(i) I woke to early sun: burning of fire, & then afterward. We kept reaching through the long night. (ii) Afterward, the small deceptions",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
stream,peace,poem_12022,The Hill,Joshua Mehigan,62,52,10,0,1,1,"beside the droning mill,across the dirty stream, nearer than they seem,they wait and will be waiting.The glass-eyed cicada drones in the linden draped like a tentabove three polished stones. Aphids swarm",1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
moonlight,freedom,poem_00912,The Comedian as the Letter C,Wallace Stevens,2115,2106,9,4,465,461,"they paint effulgent, azure lakes, And April hillsides wooded white and pink, Their azure has a cloudy edge, their white And pink, the water bright that dogwood bears. And in",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
cheering,loneliness,poem_10320,Occurrence on Washburn Avenue,Regan Huff,134,128,6,0,1,1,"the screen around to Alice, who's stopped even her nervous laugh, her face blank and smooth with concentration. It can't go on and then it does go",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
horseshoe,despair,poem_01717,Campaign,Ciaran Carson,56,50,6,0,7,7,"waste-ground somewhere near the Horseshoe Bend, and told him What he was. They shot him nine times. A dark umbilicus of smoke was rising from a heap",1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
vulnerability,regret,poem_04918,Sympathy,Farnoosh Fathi,20,13,7,0,1,1,"that, left on three legs?If there’s been a mistake, it may be in assuming less vulnerability as one fills the vase—whose buoyant comfort exaggerates at the sight of",1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
sign,love,poem_05367,coping skills lost in the flood,CAConrad,67,71,4,0,3,3,thing you realize beautiful architecture refreshing beverages our signs read hello love us for,1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
love,love,poem_12824,The Stream's Secret,Dante Gabriel Rossetti,1607,1607,0,0,305,305,,0,symbol and emotion are identical,objective_proxy_rules_from_context_without_semantic_guessing
fear,fear,poem_01297,The Acts of Youth,John Wieners,70,71,1,0,13,13,"without me: that it is within unless it be some sudden act or calamity to land me in the hospital, a total",0,symbol and emotion are identical,objective_proxy_rules_from_context_without_semantic_guessing
leash,joy,poem_04640,Before the Mirror on New Year’s Eve,Philip Metres,27,26,1,0,7,7,"The confounding joyful leash, Flesh that stretches planet-wide If a planet were human-sized. These pulsing thermal layers we wear, Not the myriad",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
book,nostalgia,poem_05470,Twelve Thirty One Nineteen Ninety Nine,Larry Levis,35,36,1,0,1,1,"me until it becomesA book again. Cloth, thread, & the infinite wood.Don’t worry. Don’t worry.In the future, everyone, simply everyone,Will be hung",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
light,hope,poem_10304,The Lights at Carney’s Point,Alice Moore Dunbar-Nelson,67,68,1,0,1,1,"the Delaware?And the lights grew dim at the water’s brim, For the smoke of the mills shredded slow between;And the smoke was",0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
opportunity,freedom,poem_00614,Let America Be America Again,Langston Hughes,116,123,7,0,33,33,"never been equality for me, Nor freedom in this ""homeland of the free."") Say, who are you that mumbles in the dark? And who are you that draws",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
snow,freedom,poem_12899,March: An Ode,Algernon Charles Swinburne,233,236,3,0,1,1,"are aglow As a lover's that kindle with kissing, and earth, with her raiment and tresses yet wasted and torn, Takes breath as she",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
sort,mortality,poem_02998,The End of a Beautiful Era,Joseph Brodsky,736,741,5,0,123,123,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
wing,freedom,poem_03568,And when I say poem,Rebecca Wolff,108,109,1,0,73,73,shed and oracular shit out the window in a pile by the side of the road and the commitment of the poet,0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
boat,nostalgia,poem_10721,every single day,John Straley,57,47,10,2,15,13,spent together in the yellow boat when the early whales were feeding and we caught our first fish of the year? Or would you remember that time off Cape Flattery when,1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
ward,peace,poem_12701,To Sleep,John Keats,113,118,5,0,1,1,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
sea,confusion,poem_02310,Voyage,Carmen Tafolla,18,16,2,0,5,5,"Niña, Pinta, Santa María, Lost at sea while watching a seagull, Following the wind and sunset skies, While the others set their charts.",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
storm,faith,poem_05884,Midnight Office,Cynthia Cruz,84,81,3,0,29,29,"Like I was a hologram. If you say I am a mystic, Then fine: I’m a mystic. The trees are not trees, anyway.",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
level,despair,poem_05972,Peril Sonnet,David Baker,51,49,2,0,1,1,spring dwindle is whatwe call it collapsing neonicotinoids“high levels in pneu- matic corn exhaust”loss of habitat or disappearing disease in the way of,1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
rake,longing,poem_04289,Apricot Lament,Tacey M. Atsitty,105,102,3,0,17,17,"without even No matter for bloom, the seasons no longer allow The trouble with doting over blossoms is In a swollen tub of ruth,",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
road,love,poem_02816,Aubade with Bread for the Sparrows,Oliver de la Paz,235,232,3,0,43,43,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
soul,transcendence,poem_12900,Nephelidia,Algernon Charles Swinburne,191,192,1,0,1,1,"the spasm of erotic emotional exquisite error, Bathed in the balms of beatified bliss, beatific itself by beatitude's breath. Surely no spirit",0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
joseph,tenderness,poem_02320,The Descent,Fanny Howe,68,76,8,4,27,31,really ought to tender how you sail by eye your soul is just a length of baby,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
shack,longing,poem_04694,Back Road,Bruce Guernsey,14,16,2,0,1,1,"these kids huddled like grousein the plowed rutsin front of their shack waiting for the bus,three small children bunched against the drifts rising",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
october,hope,poem_09136,from Silent is the House,Emily Brontë,32,33,1,0,4,4,"they shine; Long before October returns, Seas of blood will have parted us; And you must crush the love in your heart,",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
hand,desire,poem_01988,Murderer [Part IV],Curzio Malaparte,752,761,9,2,147,149,"And they were certainly a marvelous thing, those tears, not only for her, but for me as well. My mother . . . My mother was lying on her back,",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
bread,transcendence,poem_13078,I am the Living Bread: Meditation Eight: John 6:51,Edward Taylor,230,234,4,0,38,38,"Soule Bread take. Come Eate thy fill of this thy Gods White Loafe? Its Food too fine for Angells, yet come, take And Eate thy",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
distant hill,longing,poem_07885,The Greatest Grandeur,Pattiann Rogers,77,78,1,0,19,19,to be most rare and some the complex motion of seven sandpipers bisecting the arcs and pitches of come and retreat over,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
odysseus,regret,poem_05720,From “Ithaca”,Grigori Dashevsky,247,254,7,0,1,1,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
barbie,grief,poem_06249,Barbie Chang’s Tears,Victoria Chang,0,3,3,0,1,1,Barbie Chang’s tears are the lights of the city that go off on off,1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
spirit,transcendence,poem_00707,On Buying and Selling,Kahlil Gibran,312,312,0,0,83,83,,0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
bicycle,mortality,poem_09366,"Belle Isle, 1949",Philip Levine,32,28,4,0,7,7,"in the brine of car parts, dead fish, stolen bicycles, melted snow. I remember going under hand in hand with a Polish highschool girl I'd",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
sleep,peace,poem_10808,Author’s Prayer,Ilya Kaminsky,101,101,0,0,19,19,"a prayer, Lord, I will praise your madness, and in a language not mine, speak of music that wakes us, music",0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
foot,desire,poem_12903,Sapphics,Algernon Charles Swinburne,96,86,10,0,1,1,"as fire of sunset on western waters; Saw the reluctant Feet, the straining plumes of the doves that drew her, Looking always, looking with necks reverted, Back to Lesbos, back to",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
rival,jealousy,poem_04759,April,Alicia Ostriker,114,114,0,0,1,1,trombonesof the leafing elms with the legatoof my rivals’ piss at their feetand the leftover meat and greasesinging along in all,0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
light,hope,poem_13141,The Vagrant’s Romance,Eva Gore-Booth,710,710,0,0,145,145,"am one who rests not in any grave; I will follow each stormy light divine, And the secret of all things",0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
sea,melancholy,poem_10528,Rain Effect,Mary Ruefle,222,217,5,2,39,37,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
silence,loneliness,poem_01459,A Reminiscence,Richard O. Moore,56,56,0,0,21,21,"slow damnation Of speech that is weak And falls from silence. In the October sun By the green river we spoke,",0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
cigarette,nostalgia,poem_09459,Written with a Pencil Found in Lorine Niedecker’s Front Yard,David Trinidad,42,47,5,4,27,31,blanket hole-punched gray paper sky Tonight it outright blinded One headlight or drive-in sci-fi eye * I’ve been alone long enough Even the moon wears a,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
ring,faith,poem_05163,End Grain,Matthew Nienow,21,29,8,0,1,1,"that makethe pathways for rays, bisecting annular rings, the mostvulnerable doorof what makesthe holiest ofthings.",1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
loss,grief,poem_05094,Like the Small Hole by the Path-Side Something Lives in,Jane Hirshfield,113,114,1,0,1,1,be machines like loud ideas with tungsten bits that grind the day.A few escape. A mercy.They leave behind small holes that something,0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
rock,regret,poem_11092,A Day on the Big Branch,Howard Nemerov,477,485,8,2,93,95,"a rock and had no use for the doctrines of Jean Jacques Rousseau, and could no longer afford a savagery whether noble or not; some would never batter that",1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
gladness,transcendence,poem_12661,Prayer (I),George Herbert,104,110,6,2,15,17,spices; something understood.,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
balloon,joy,poem_12078,Balloon,John Kinsella,297,287,10,0,1,1,"code of chemical pinkness, and like some Red Riding Hood in reverse, choke on the gift of chance.",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
gut,tenderness,poem_12432,The Soldier,David Ferry,57,63,6,2,9,11,"tenacious and delicate guts, Swift’s spider, All self-regard, or else all privacy. The dust drifts in the sunlight around him, as currents Lie in lazy, drifting schools",1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
hand,melancholy,poem_04002,My Sister Says White Supremacy Is Turning Her Crazy,Morgan Parker,44,39,5,2,17,15,long kiss heavy gut slow slow hands in your seeds,1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
eternity,oppression,poem_13104,Transformation & Escape,Gregory Corso,378,375,3,0,93,93,my jaws. Broke my legs. Sagged belly-flat on plow on pitchfork on scythe. My spirit leaked from the wounds. A whole spirit pooled. I,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
story,desire,poem_08825,Life Story,Tennessee Williams,69,64,5,0,11,11,"your life story, and so you light up a cigarette and begin to tell it to them, the two of you lying together in completely relaxed",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
dance,joy,poem_10165,The Corn-Stalk Fiddle,Paul Laurence Dunbar,364,365,1,0,1,1,,0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
country,hope,poem_00476,I Was In A Hurry,Dunya Mikhail,219,211,8,2,67,65,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
electricity,wonder,poem_00945,Lost in Translation,Gabriel Gomez,113,112,1,0,39,39,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
gentle voice,peace,poem_06871,Bereavement,William Lisle Bowles,2,3,1,0,1,1,"Whose was that gentle voice, that, whispering sweet, Promised methought long days of bliss",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
rate,love,poem_08935,To Lysander,Aphra Behn,77,73,4,0,3,3,"Rate on all impose, Nor leaves it to the Trader’s Choice. III A Heart requires a Heart Unfeign’d and True, Though Subt’ly you advance the",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
bower,anger,poem_09138,"Sonnets from the Portuguese 44: Beloved, thou has brought me many flowers",Elizabeth Barrett Browning,87,92,5,2,12,14,"And wait thy weeding; yet here’s eglantine, Here’s ivy!— take them, as I used to do Thy flowers, and keep them where they shall not pine.",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
leg,doubt,poem_08669,Interview by a Guggenheim Recipient,Charles Bukowski,104,97,7,2,29,27,layed along the side of my brain) like WELL? YOU DON’T CARE ABOUT ANYTHING BUT IF YOU WERE TEACHING A CLASS AND ONE OF THE STUDENTS ASKED YOU,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
land,faith,poem_07304,Paradise Lost: Book 12 (1674 version),John Milton,2961,2951,10,0,1,1,"to foil Thy enemie; nor so is overcome Satan, whose fall from Heav'n, a deadlier bruise, Disabl'd not to give thee thy deaths wound: Which hee, who comes thy Saviour, shall",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
peacock,faith,poem_05684,Heath XXIX,John Greening,314,307,7,0,1,1,storms.,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
salvation,faith,poem_10201,"An Evening Thought: Salvation by Christ, with Penetential Cries",Jupiter Hammon,141,147,6,2,39,41,"Salvation from above; It is the Lord that doth supply, With his Redeeming Love. Dear Jesus by thy precious Blood, The World Redemption have: Salvation now comes",1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
sand,mortality,poem_11209,Die Verschwundenen/The Vanished,Hans Magnus Enzensberger,190,185,5,0,3,3,"als wir, doch ohne Andenken. Nicht verzeichnet, nicht abzulesen im Staub, sondern verschwunden sind ihre Namen, Löffel und Sohlen. Sie reuen uns nicht. Es kann sich",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
light,hope,poem_07261,Snow-Bound: A Winter Idyl,John Greenleaf Whittier,207,207,0,0,3,3,"chill no coat, however stout, Of homespun stuff could quite shut out, A hard, dull bitterness of cold, That checked, mid-vein,",0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
forest,hope,poem_01794,The Picket-Guard,Ethel Lynn Beers,356,350,6,0,1,1,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
chair,regret,poem_02871,Husbands,Pauletta Hansel,99,95,4,0,1,1,"him from chair to bookshelf, back again till Monday came. My mother likes to tell my husband sit down in this chair and put your",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
pillow,mortality,poem_05152,Gravitas,Sara Miller,56,50,6,0,1,1,"a pillow.The clock shed. Night pulled itsburdens into harbor and I woke,glad for the day, its telltale light,its flying minute, that genie work,and the everlasting perturbationsof my",1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
meadow,confusion,poem_10849,Another Sunday Morning,Carter Revard,227,233,6,2,63,65,a fluid scuttling on down the lane and stopped frozen till I came too close —then quietly when I expected an explosion of wings they took off,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
gourd,resilience,poem_08709,Letter from the Mountains,James K. Baxter,160,151,9,2,27,25,"shout as if drowning— 'You are always—' Despair is the only gift; When it is shared, it becomes a different thing; like rock, like water; And so you also can",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
glass,oppression,poem_12447,A Thousand Words,Daryl Hine,1265,1266,1,0,185,185,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
responsibility,joy,poem_01194,[I did something I could never discuss],Paul Foster Johnson,136,130,6,4,55,51,until her nervous guardian sent us back to the church with a coat of arms where we were going anyway as though under the influence of boreal,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
kind,tenderness,poem_01875,The Fire Cycle,Zachary Schomburg,308,308,0,0,1,1,burning like a star on the hill. There is our dark flickering shadow. There is my hand on fire in your,0,source is an emotion word,objective_proxy_rules_from_context_without_semantic_guessing
