poem_id,title,author,poem_text,gold_symbols,gold_emotion_categories,annotation_method
poem_06996,"Fie, Pleasure, Fie!",George Gascoigne,"Fie pleasure, fie! thou cloyest me with delight, Thou fill’st my mouth with sweetmeats overmuch; I wallow still in joy both day and night: I deem, I dream, I do, I taste, I touch, No thing but all that smells of perfect bliss; Fie pleasure, fie! I cannot like of this. To taste (sometimes) a bait of bitter gall, To drink a draught of soür ale (some season) To eat brown bread with homely hands in hall, Doth much increase men’s appetites, by reason, And makes the sweet more sugar’d that ensues, Since minds of men do still seek after news. The pamper’d horse is seldom seen in breath, Whose manger makes his grace (oftimes) to melt; The crammed fowl comes quickly to his death; Such colds they catch in hottest haps that swelt; And I (much like) in pleasure scawled still, Do fear to starve although I feed my fill. It might suffice that Love hath built his bower Between my lady’s lively shining eyes; It were enough that beauty’s fading flower Grows ever fresh with her in heavenly wise; It had been well that she were fair of face, And yet not rob all other dames of grace. To muse in mind, how wise, how fair, how good, How brave, how frank, how courteous, and how true My lady is, doth but inflame my blood With humours such as bid my health adieu; Since hap always when it is clomb on high, Doth fall full low, though erst it reach’d the sky. Lo, pleasure, lo! lo thus I lead a life That laughs for joy, and trembleth oft for dread; Thy pangs are such as call for change’s knife To cut the twist, or else to stretch the thread, Which holds yfeer the bundle of my bliss: Fie, pleasure, fie! I dare not trust to this.","fie, pleasure, doth, thou, mind, hap, lady, mouth","anger, faith, fear, gratitude, joy, love, melancholy, mortality, peace, wonder",blind_objective_proxy_from_poem_text
poem_05047,Moving Things,W. S. Di Piero,"My aunts mentioned her just once,calling her my aunt, their sister,though she wasn’t. They mentionedthe vinyl recliner in the kitchen,the “I Like Ike” poster, the Sacred Heart,cabbage smells, sulfur, and shame.Before jolted by the gift that calledthrough but never really for her,she became unpleasantly calm.Moments later, after she said“I don’t want this please,” God’s loveraced down the pulse into her look.It was as if her things spoke back:a table leg scraped the floor, a forkwobbled in a drawer, knickknacks fell.She nearly died each time it happened.They said her mind just wasn’t there,or she wasn’t in it anymore.She sat helpless afterward,papery when they lifted herfrom vision seat to bed. The mightto move what her eye fell uponis the image of her I keep,her iridescent readiness.","aunt, sister, kitchen, ike, heart, smell, sulfur, calledthrough","awe, desire, envy, faith, gratitude, mortality, nostalgia, peace, regret, shame, transcendence, wonder",blind_objective_proxy_from_poem_text
poem_00405,Open Openly,Alan Felsenthal,"Bless Tuesday, blessed Monday.

Bless the word week, its seven

small days trail with y.

Bless the men whose words

I was too young to hear.

A whisper loves a canal.

Bless my laugh, lent by grief,

I have so little left to borrow.

But my hair, it grows—

if hair be gold, cut mine so

I might rid my beloved

of his student loans. Bless

thieves, universities, those

hands caress what’s not theirs.

Bless thinking it was yours.

Here are hands, blessed one.

Bless them holding the door.

Bless each crier on the F

train before and after me

as they blush, as they transfer

into tunnels for the red line.

Oh bless, bless wildly, what

remains to be done. Bless

the one who told me so,

the ones who didn’t.

Even weak breaths bless.

Bless weakness, fragile fortress,

my friend’s body absent

of soundness. Bless the sound

of someone reliable answering

your call, saying If you’re going

through hell, Hello.","bless, hair, hand, trail, whisper, canal, gold, loan","gratitude, grief, joy, love, shame, tenderness",blind_objective_proxy_from_poem_text
poem_08856,Fourth Song,Sir Philip Sidney,"Only joy, now here you are,
Fit to hear and ease my care;
Let my whispering voice obtain,
Sweet reward for sharpest pain;
Take me to thee, and thee to me.
No, no, no, no, my dear, let be. Night hath closed all in her cloak,
Twinkling stars love-thoughts provoke:
Danger hence good care doth keep,
Jealousy itself doth sleep;
Take me to thee, and thee to me.
No, no, no, no, my dear, let be. Better place no wit can find,
Cupid’s yoke to loose or bind:
These sweet flowers on fine bed too,
Us in their best language woo;
Take me to thee, and thee to me.
No, no, no, no, my dear, let be. This small light the moon bestows,
Serves thy beams but to disclose,
So to raise my hap more high;
Fear not else, none can us spy:
Take me to thee, and thee to me.
No, no, no, no, my dear, let be. That you heard was but a mouse,
Dumb sleep holdeth all the house;
Yet asleep, methinks they say,
Young folks, take time while you may:
Take me to thee, and thee to me.
No, no, no, no, my dear, let be. Niggard Time threats, if we miss
This large offer of our bliss,
Long stay ere he grant the same;
Sweet then, while each thing doth frame,
Take me to thee, and thee to me.
No, no, no, no, my dear, let be. Your fair mother is abed,
Candles out, and curtains spread:
She thinks you do letters write.
Write, but first let me indite:
Take me to thee, and thee to me.
No, no, no, no, my dear, let be. Sweet, alas, why strive you thus?
Concord better fitteth us:
Leave to Mars the force of hands,
Your power in your beauty stands;
Take me to thee, and thee to me.
No, no, no, no, my dear, let be. Woe to me, and do you swear
Me to hate, but I forbear,
Cursèd by my destines all
That brought me so high to fall:
Soon with my death I will please thee.
No, no, no, no, my dear, let be.","thee, care, doth, reward, pain, hath, cloak, star","anger, fear, hope, jealousy, joy, love, mortality, peace",blind_objective_proxy_from_poem_text
poem_00582,Khalil Zaqtan,Ghassan Zaqtan,"And I will bend down to smell his desire

his tomb's flowers and marble

his wilting joy

his swapping temptation for content

 

And I will keep him from the cold, visitors, oleander,

and the sons of bitches and say: No one

will resemble me like my father

his white stumbling and the illusion that plucks words

 

A shout that walks on two feeble legs

eyes me with the summer of discontent

and sprinkles me with water, turns me green

before it shakes the bitter dirt

off its fingers

… that's my father

he cried from a darkness in the grave

 

And I will gather the house of your chucked absence

as if we were alone on Earth

… you die

so I can fold the falcon's wings after its departure

and believe the silence that remains","father, flower, marble, temptation, content, visitor, oleander, son","anger, desire, despair, envy, faith, freedom, grief, joy, loneliness, longing, mortality",blind_objective_proxy_from_poem_text
poem_11794,to where,David Ferry,"Wearing a tawny lion pelt upon My spindly shoulders I carry both of them, My father and my mother, into the darkness, My father hoarsely singing, “They are there!” —The glimmer of something that is glimmering there— “I see the glow of weapons in the shadows!” Through which with my purblind eyes I think I see Something in the darkness waiting there. Above me in the dark my mother’s voice Calls down to me, “Who’s there? Who is it there?” Step after step together we make our way, In the darkness of my memory of our house.","father, mother, step, lion, shoulder, glimmer, glow, weapon","despair, fear, joy, longing, nostalgia",blind_objective_proxy_from_poem_text
poem_02793,The Accounts,Katie Peterson,"I.

The nest was at rest for a time, not being

made. Before the eggs were laid, it softened.

The robin sleeping. Inside the house,

the sound of laundry

in the dryer, the sound of a zipper

tumbling inside

the apparatus, and shirts with buttons,

as well as napkins

and a tablecloth printed with blueberries

and stalks of lily of the valley, oval,

for the table with claw legs

and extra leaves for guests.

II.

In one account, the angels come, their hands

emerging from their wings like sentences

staying, as long as it takes,

for the windows to go from indigo

to black, as long

as it takes for a breath to land in the base

of the belly, in the cavity

wisdom tells us wisdom comes from

or first dwells in, before it navigates

the narrows of the throat, becomes mantra,

becomes guttural, becomes spit to aspirate

the language the mouth makes.

The native obligation of this account

to its subject is care. The form

of music the wind chime makes

registers the commitment

of a furious system, filled with

conviction, to the continued

transformation of what

is. Do not ask what has been

lost. Ask what changed. An instrument

of will, the guitar echoes this, a chord,

more reminder than absolute, the hand

arouses but does not create the scale.

In this way what rests gets taken up.

III. 

In another, the mind makes a decision

to end its disorder. The mind wants first

to end the face. The subject

has had enough, one too many

figures walking through the orchard, the call

and response of conversation

become an imposition on some other world

unbroken by the idea of separate bodies,

an idea one has never been convinced of,

and so now it is a relief to believe

what one has suspected, that separation

a trick of perspective, though such a revelation

does not undo the fatigue of existing

in the continuing illusions of others. And yet, the obligation

to be kind, to show interest in strangers

when they visit with flowers, to family

whose hands are empty, and to doctors,

not to mention the pain.

IV. 

In the last account, the explosions

are too small to be seen, and oxygen

takes both thirst and hunger away

as it ceases to find a home in the lungs,

and the patient, having ceased to feel, ceases

to breathe, as the heart shuts down

before the brain and shuts

the dreaming down, the settling on a nest

of images, not feeling any form of distress.

The pathways to distress are blocked,

but the senses doubled, the ears know

the house more than they ever did,

whose clothes occupy the dryer,

which voice accompanies water.

V.

 

Angels be patient with this subject.

I know what she would say to you

if she could speak,

 if she could see

you just inside the window whose top right

pane frames what we call a family,

when the almost mother bird

finishes what she is thinking about,

barely but still hidden from sight.

If you stopped to look at the nest

you would see a sleep so purposeful

the ladder of adoration would reverse

and you would stay on earth.","nest, account, hand, subject, house, sound, dryer, window","anger, desire, envy, faith, freedom, grief, loneliness, longing, mortality, nostalgia, peace, regret, shame, tenderness, transcendence, wonder",blind_objective_proxy_from_poem_text
poem_04710,Willow,Anna Akhmatova,"...and a decrepit handful of trees. —Aleksandr Pushkin And I matured in peace born of command, in the nursery of the infant century, and the voice of man was never dear to me, but the breeze’s voice—that I could understand. The burdock and the nettle I preferred, but best of all the silver willow tree. Its weeping limbs fanned my unrest with dreams; it lived here all my life, obligingly. I have outlived it now, and with surprise. There stands the stump; with foreign voices other willows converse, beneath our, beneath those skies, and I am hushed, as if I’d lost a brother.","tree, handful, pushkin, command, nursery, century, burdock, willow","grief, love, peace, wonder",blind_objective_proxy_from_poem_text
poem_01580,The Wound,Adonis,"1.

The leaves asleep under the wind

are the wounds’ ship,

and the ages collapsed on top of each other

are the wound’s glory,

and the trees rising out of our eyelashes

are the wound’s lake.

The wound is to be found on bridges

where the grave lengthens

and patience goes on to no end

between the shores of our love and death.

The wound is a sign,

and the wound is a crossing too.

 

 

2.

To the language choked by tolling bells

I offer the voice of the wound.

To the stone coming from afar

to the dried-up world crumbling to dust

to the time ferried on creaky sleighs

I light up the fire of the wound.

And when history burns inside my clothes

and when blue nails grow inside my books,

I cry out to the day,

“Who are you, who tosses you

into my virgin land?”

And inside my book and on my virgin land

I stare into a pair of eyes made of dust.

I hear someone saying,

“I am the wound that is born

and grows as your history grows.”

 

 

3.

I named you cloud,

wound of the parting dove.

I named you book and quill

and here I begin the dialogue

between me and the ancient tongue

in the island of tomes

in the archipelago of the ancient fall.

And here I teach these words

to the wind and the palms,

O wound of the parting dove.

 

 

4.

If I had a harbor in the land

of dreams and mirrors, if I had a ship,

if I had the remains

of a city, if I had a city

in the land of children and weeping,

I would have written all this down for the wound’s sake,

a song like a spear

that penetrates trees, stone, and sky,

soft like water

unbridled, startling like conquest.

 

 

5.

Rain down on our desert

O world adorned with dream and longing.

Pour down, and shake us, we, the palms of the wound,

tear out branches from trees that love the silence of the wound,

that lie awake staring at its pointed eyelashes and soft hands.

 

World adorned with dream and longing

world that falls on my brow

like the lash of a wound,

don’t come close—the wound is closer—

don’t tempt me—the wound is more beautiful.

That magic that your eyes had flung

on the last kingdoms—

the wound has passed over it,

passed and did not leave a single sail

to tempt toward salvation, did not leave

a single island behind.","wound, land, tree, book, wind, ship, eyelash, stone","desire, despair, grief, hope, loneliness, longing, love, melancholy, mortality, peace, regret, resilience, tenderness, wonder",blind_objective_proxy_from_poem_text
poem_08102,Sea Rose,H. D.,"Rose, harsh rose, marred and with stint of petals, meagre flower, thin, sparse of leaf, more precious than a wet rose single on a stem— you are caught in the drift. Stunted, with small leaf, you are flung on the sand, you are lifted in the crisp sand that drives in the wind. Can the spice-rose drip such acrid fragrance hardened in a leaf?","leaf, rose, sand, stint, petal, flower, sparse, wet","hope, resilience, transcendence",blind_objective_proxy_from_poem_text
poem_10244,Sonnet: On Receiving a Letter Informing Me of the Birth of a Son,Samuel Taylor Coleridge,"When they did greet me Father, sudden AweWeigh'd down my spirit! I retired and kneltSeeking the throne of grace, but inly feltNo heavenly visitation upwards drawMy feeble mind, nor cheering ray impart.Ah me! before the Eternal Sire I broughtThe unquiet silence of confused ThoughtAnd shapeless feelings: my o'erwhelmed HeartTrembled: & vacant tears stream'd down my face.And now once more, O Lord! to thee I bend,Lover of souls! and groan for future grace,That, ere my Babe youth's perilous maze have trod,Thy overshadowing Spirit may descendAnd he be born again, a child of God!","throne, mind, impart, sire, feeling, tear, face, trod","confusion, faith, gratitude, grief, joy, loneliness, love, nostalgia, transcendence",blind_objective_proxy_from_poem_text
